geoid,name,state,pop,historicalPersistenceScore,outlook,historicalWinnerIndex,mechanismScore,mechanismRealLogGrowth,historicalRelativeGrowth,structuralScore,valuationGap,modelDisagreement,zhvi2025,medianValue,housingMarketEligible,confidence,confidenceReasons,engines,human,access,regen,gateway,amenity,scarcity,health,distress,tags,positives,negatives
3525170,Española city,NM,10472,1.721,1.721,0.6021,-0.301,-0.232,0.019,-0.142,-1.346,2.022,326726,205100,1,medium,statistical/mechanism disagreement,0.06,-0.11,-0.6,-0.02,0.76,0.23,0.38,0.13,0.63,,,market access
5631855,Gillette city,WY,33278,-0.696,-0.696,0.1142,0.631,0.342,-0.076,-1.266,-1.336,1.327,353706,257200,1,high,,-0.38,-0.25,-1.92,0.42,-0.33,-0.13,-0.05,-0.55,0.19,,,market access
1514650,Hilo CDP,HI,48223,0.659,0.659,0.3876,-0.38,-0.281,-0.068,-0.152,-1.336,1.039,534067,455100,1,high,,0.35,0.25,-1.29,-0.03,0.34,0.05,0.12,-0.16,-0.16,,,market access
3206500,Boulder City city,NV,14888,0.584,0.584,0.3725,-0.784,-0.53,-0.046,-0.108,-1.326,1.368,477361,424200,1,high,,-0.18,0.18,0.56,-0.33,-0.27,0.42,-1.22,-1.36,-0.23,Government Hub,market access,
3520270,Deming city,NM,14735,1.581,1.581,0.5738,-0.934,-0.623,-0.006,-1.002,-1.325,2.516,158903,112800,1,medium,statistical/mechanism disagreement,-0.18,-0.75,-1.35,0.07,1.21,-0.12,0.19,-0.04,1.27,,immigrant gateway,market access; human capital; distress vacancy
4750280,Morristown city,TN,30983,0.342,0.342,0.3237,-0.002,-0.048,0,-0.457,-1.32,0.344,259208,155700,1,high,,-0.29,-0.54,-0.25,0.07,0.56,0,0.08,-0.59,0.13,,,human capital
4103650,Baker City city,OR,10177,-0.371,-0.371,0.1798,-0.282,-0.221,-0.045,-0.934,-1.311,0.088,264099,233500,1,high,,-0.21,-0.22,-1.94,-0.04,-0.53,-0.09,0.41,0.04,-0.88,,,market access
1611260,Burley city,ID,11721,0.265,0.265,0.308,0.43,0.218,0.007,-0.703,-1.299,0.165,320642,213700,1,high,,-0.38,-0.5,-1.25,0.46,0.78,-0.22,0.09,-0.55,-0.43,,,market access; human capital
4139700,Klamath Falls city,OR,21879,0.521,0.521,0.3597,0.211,0.083,-0.008,-0.217,-1.298,0.31,304676,257400,1,high,,0.57,-0.2,-1.46,0.16,-0.11,-0.06,0.24,0.32,-0.49,,institutional engines,market access
2612320,Cadillac city,MI,10404,-0.516,-0.516,0.1505,-0.05,-0.078,0.007,-0.924,-1.287,0.466,227856,117500,1,high,,-0.44,-0.23,-1.2,0.04,-0.47,0.21,0.46,-0.56,-0.06,,,market access; institutional engines
5340805,Lynden city,WA,16025,0.094,0.094,0.2737,0.127,0.031,-0.043,-0.18,-1.276,0.032,616197,546400,1,high,,-0.31,0,-0.42,0.18,0.45,-0.17,-0.05,-0.55,-0.64,,,
4977120,Tremonton city,UT,10886,-0.323,-0.323,0.1895,0.283,0.127,0.004,-0.378,-1.275,0.605,423889,334300,1,high,,-0.49,-0.6,-0.01,0.81,-0.1,-0.27,-0.3,-0.68,-0.78,,,institutional engines; human capital
0132272,Gulf Shores city,AL,15785,0.723,0.723,0.4006,0.161,0.052,0.009,-0.246,-1.25,0.562,458359,367000,1,high,,-0.44,0.69,-0.07,-0.44,0.24,2.16,-0.47,-0.96,1.96,Amenity Destination,amenity capital; human capital,distress vacancy; institutional engines
0659892,Red Bluff city,CA,14592,0.64,0.64,0.3838,0.218,0.087,-0.014,-0.267,-1.246,0.422,307804,271100,1,high,,0,-0.59,-0.57,0.33,-0.02,-0.25,0.69,0.74,-0.06,,,human capital; market access
5667235,Rock Springs city,WY,23229,-0.221,-0.221,0.21,0.368,0.179,-0.069,-1.082,-1.23,0.588,297114,245600,1,high,,0.1,-0.35,-2,0.22,-0.07,-0.25,0.02,-0.06,0.51,,,market access
4023500,Elk City city,OK,11406,-0.482,-0.482,0.1574,-0.578,-0.403,-0.043,-1.485,-1.223,0.096,163615,165300,1,high,,-0.37,-0.53,-1.42,0.2,-0.18,-0.31,-0.49,-0.4,1.36,,,market access; distress vacancy; human capital
1574450,Waianae CDP,HI,12907,0.471,0.471,0.3498,0.23,0.095,-0.031,-0.066,-1.223,0.242,567529,487200,1,high,,-0.04,-0.65,0,0.14,0.01,0.08,0.5,-0.11,-0.67,,,human capital
1323872,Douglas city,GA,11720,0.423,0.423,0.34,0.442,0.225,0.007,-0.693,-1.214,0.019,185384,136100,1,high,,0.06,-0.53,-0.9,0.21,-0.16,0.14,0.08,-0.59,0.32,,,market access; human capital
0408220,Bullhead City city,AZ,42193,1.507,1.507,0.5589,-0.026,-0.063,0.022,-0.201,-1.21,1.533,296735,196900,1,high,,-0.31,-0.38,-0.45,-0.28,0.17,1.44,-0.06,-0.06,-0.48,Amenity Destination,amenity capital,
1607840,Blackfoot city,ID,12628,-0.47,-0.47,0.1599,0.271,0.12,-0.035,-0.527,-1.209,0.741,365248,225900,1,high,,-0.18,-0.27,-0.9,0.07,-0.19,-0.32,0.49,-0.05,-0.47,,,market access
2978928,West Plains city,MO,12341,-0.022,-0.022,0.2501,0.256,0.11,0.006,-0.429,-1.194,0.278,219781,158700,1,high,,0.36,-0.37,-1.17,0.23,-0.66,-0.06,-0.01,0.88,-0.01,,,market access
5320155,East Wenatchee city,WA,14114,0.668,0.668,0.3895,0.217,0.087,-0.008,-0.173,-1.182,0.451,504273,414000,1,high,,-0.12,-0.39,-0.87,0.19,0.76,-0.14,0.77,0.52,-0.37,,,market access
4741340,Lawrenceburg city,TN,11732,-0.171,-0.171,0.2202,-0.313,-0.24,0.012,-0.377,-1.18,0.142,232774,158100,1,high,,-0.17,-0.27,-0.2,0.14,-0.43,-0.1,0.13,0.23,0.28,,,
2715832,Detroit Lakes city,MN,10002,-0.506,-0.506,0.1525,0.355,0.172,0.009,-0.308,-1.18,0.862,361092,246200,1,high,,-0.23,0.11,-1.05,0.1,-0.63,0.5,-0.14,0.23,-1,,distress vacancy,market access
1676870,Star city,ID,13231,-0.625,-0.625,0.1284,0.045,-0.019,-0.071,-0.117,-1.179,0.67,583164,498900,1,high,,0.01,0.26,-0.24,-0.05,-0.32,-0.07,-1.5,-0.35,-0.75,,,
1652660,Middleton city,ID,10101,-0.879,-0.879,0.0773,0.299,0.137,-0.036,-0.246,-1.178,1.178,500784,348900,1,high,,-0.17,0.09,-0.24,0.26,-0.59,-0.22,-1.12,-0.35,-0.82,,,
1380956,Waycross city,GA,13813,0.281,0.281,0.3114,-0.785,-0.531,-0.032,-1.102,-1.178,1.066,146260,88600,1,high,,-0.03,-0.49,-0.7,0.21,-0.47,-0.2,0.34,-0.45,2.13,,,distress vacancy; market access
4115950,Cottage Grove city,OR,10630,-0.273,-0.273,0.1996,0.077,0,-0.016,-0.151,-1.176,0.35,402205,318800,1,high,,-0.12,-0.22,-0.4,0.08,-0.32,-0.24,0.61,0.27,-0.72,,,
4756720,Paris city,TN,10313,-0.074,-0.074,0.2397,-0.581,-0.405,-0.009,-0.566,-1.172,0.508,200389,142700,1,high,,-0.02,-0.39,-0.56,0.12,-0.49,0.04,-0.03,0.31,0.6,,,market access
2808820,Brookhaven city,MS,11656,0.082,0.082,0.2711,-1.085,-0.715,-0.015,-0.786,-1.169,1.167,165285,111500,1,high,,0.13,-0.15,-0.98,-0.17,-0.54,-0.13,-0.33,0.41,1.04,,,market access; distress vacancy
0236400,Juneau city and borough,AK,31969,0.639,0.639,0.3836,0.464,0.239,-0.077,-0.761,-1.163,0.175,462315,432500,1,high,,0.31,0.33,-2.27,-0.06,0.13,-0.03,-2.15,-0.03,-0.59,Government Hub,,market access; structural housing scarcity
4210464,Butler city,PA,13306,-0.677,-0.677,0.118,-0.416,-0.304,-0.015,-0.283,-1.157,0.261,242524,112500,1,high,,-0.17,-0.37,0.48,-0.14,-0.53,-0.1,1.14,-0.03,0.98,,,
2601740,Alpena city,MI,10178,-0.05,-0.05,0.2446,-0.53,-0.373,-0.017,-1.161,-1.152,0.48,178531,110400,1,high,,-0.04,-0.49,-2.16,-0.25,-0.63,0.16,0.4,0.48,-0.21,,,market access
2250885,Minden city,LA,11604,0.18,0.18,0.2909,-0.578,-0.403,-0.005,-0.591,-1.147,0.758,146972,116700,1,high,,0.12,-0.45,-0.47,0.01,-0.52,-0.24,0.07,0.59,0.99,,,
4769560,Soddy-Daisy city,TN,13117,-0.363,-0.363,0.1814,-0.391,-0.288,-0.044,-0.442,-1.134,0.028,360481,241400,1,high,,-0.29,-0.16,-0.08,-0.4,-0.48,-0.22,-0.34,-0.34,-0.57,,,
2707300,Brainerd city,MN,14474,-0.415,-0.415,0.1709,0.214,0.085,0.013,-0.291,-1.12,0.628,305490,178600,1,high,,0.05,-0.36,-1.08,0.28,-0.59,0.06,0.19,1.14,-0.71,,,market access
3738060,Lexington city,NC,19691,0.505,0.505,0.3566,-0.228,-0.188,0.008,-0.075,-1.111,0.734,263327,158100,1,high,,-0.13,-0.52,0.59,0.06,0.65,-0.16,0.18,0.01,0.88,,market access,human capital
1646540,Lewiston city,ID,34471,-0.468,-0.468,0.1602,0.076,0,-0.058,-0.378,-1.103,0.544,383604,290900,1,high,,0.18,-0.08,-1.18,0.02,-0.45,-0.21,0.52,0.12,-0.52,,,market access
4181450,White City CDP,OR,10913,0.379,0.379,0.3311,0.334,0.159,0.01,-0.363,-1.097,0.045,354692,273700,1,high,,-0.3,-0.68,-0.84,0.3,0.61,-0.11,0.89,0.24,-0.62,,,market access; human capital
3312900,Claremont city,NH,13054,-0.213,-0.213,0.2116,-0.62,-0.429,-0.018,-0.521,-1.094,0.407,272994,171900,1,high,,-0.09,-0.3,-0.28,-0.18,-0.53,-0.13,-0.27,0.41,0.43,,,
5300100,Aberdeen city,WA,17040,0.959,0.959,0.4481,0.153,0.047,-0.001,-0.315,-1.093,0.806,289396,225100,1,high,,-0.14,-0.54,-0.28,0.2,0.19,-0.09,0.57,-0.05,0.07,,,human capital
2725118,Grand Rapids city,MN,11186,-0.403,-0.403,0.1732,-0.409,-0.299,-0.051,-0.567,-1.08,0.005,274814,200600,1,high,,0.01,0.06,-1.47,-0.02,-0.62,-0.06,-0.5,0.81,-0.47,,,market access
0831660,Grand Junction city,CO,67027,-0.361,-0.361,0.1817,0.11,0.02,-0.06,-0.047,-1.078,0.471,419154,358300,1,high,,0.22,0.36,-1.13,0.04,-0.27,-0.11,0.08,0.54,-0.62,,,market access
