code2020,bachelorShare,collegeEnrollShare,students18_24,taxableIncomePerTaxpayerThousandYen,otherVacancyShare
08212,0.10737,,2998,2873.69,0.07332
08214,0.10093,,1366,2746.14,0.04539
08215,0.07915,,2121,2696.67,0.08317
08216,0.11383,,4109,2773.71,0.04912
08217,0.22119,,6061,3187.69,0.05033
08219,0.23534,,4542,3433.64,0.03686
08220,0.26201,,18295,3804.71,0.02508
08221,0.1609,,7580,3164.64,0.03849
08222,0.10188,,2633,3164.46,0.09664
08223,0.08699,,1554,2804.82,0.06083
08224,0.29342,,3920,3751.83,0.03411
08225,0.0811,,2067,2667.12,0.03858
08226,0.11695,,2702,2891.77,0.04008
08227,0.096,,5168,2718.9,0.04554
08228,0.0644,,2819,2613.75,0.04878
08229,0.07113,,2365,2643.54,0.07918
08230,0.11725,,2111,2886.48,0.04619
08231,0.08685,,2396,2651.1,0.05
08232,0.083,,3813,3146.21,0.03992
08233,0.06358,,1641,2623.82,0.04569
08234,0.06865,,2086,2557.08,0.02537
08235,0.1995,,2301,3131.01,0.07106
08236,0.08809,,2666,2739.62,0.04785
08302,0.08326,,1601,2621.58,
08309,0.09077,,760,2652.71,
08310,0.07582,,1123,2618.17,
08341,0.18324,,1676,3366.52,
08364,0.05242,,765,2357.55,
08442,0.0922,,856,3387.16,
08443,0.15977,,3198,3076.87,
08447,0.06656,,601,2567.38,
08521,0.05728,,1145,2611.18,
08542,0.08955,,525,2895.71,
08546,0.07182,,1343,2688.8,
08564,0.17085,,826,2952.65,
09201,0.18002,,24836,3261.66,0.03354
09202,0.12045,,7507,2788.85,0.05161
09203,0.11096,,8137,2812.81,0.05226
09204,0.10949,,5632,2756.72,0.06169
09205,0.10388,,4892,2778.53,0.06048
09206,0.09987,,3980,2639.32,0.10259
09208,0.15079,,9543,3085.47,0.06368
09209,0.11223,,3707,2761.01,0.0321
09210,0.11128,,5372,2783.05,0.0411
09211,0.12965,,1734,2802.06,0.0489
09213,0.11771,,5082,2820.59,0.04797
09214,0.14614,,2092,2848.38,0.04963
09215,0.0903,,1301,2573.17,0.0671
09216,0.18377,,4132,3437.69,0.03636
09301,0.11055,,1843,2987.82,
09342,0.09883,,1169,2586.64,
09343,0.0964,,721,2578.95,
09344,0.10342,,598,2816.9,
09345,0.09946,,638,2714.09,
09361,0.11838,,2329,3019.59,
09364,0.17824,,1562,3160.03,
09384,0.08007,,592,2581.75,
09386,0.1743,,1499,3054.54,
09407,0.09481,,1294,2556.49,
09411,0.07508,,849,2497.71,
10201,0.16296,,19104,3140.27,0.04411
10202,0.17019,,21187,3111.19,0.04726
10203,0.11104,,6679,2920.75,0.07352
10204,0.12973,,11284,2829.64,0.03636
10205,0.13633,,10194,2955.03,0.04034
10206,0.09429,,2346,2651.59,0.08589
10207,0.14107,,3995,2936.55,0.04973
10208,0.10813,,4175,2743.16,0.06758
10209,0.1176,,3712,2730.77,0.03418
10210,0.0977,,2428,2756.66,0.06484
10211,0.11445,,2948,2825.06,0.09396
10212,0.10534,,2535,2709.18,0.06082
10344,0.09878,,776,2720.23,
10345,0.12471,,1022,2912.32,
10366,0.10818,,27,2246.82,
10367,0.05121,,45,2404.39,
10382,0.05531,,376,2466.37,
10383,0.0304,,47,2103.83,
10384,0.07886,,744,2560.73,
10421,0.09965,,887,2584.88,
10424,0.10734,,235,3045,
10425,0.09507,,400,2541.64,
10426,0.1006,,181,2318.72,
10428,0.05205,,196,2401.14,
10429,0.08633,,760,2617.46,
10443,0.06553,,252,2270.42,
10444,0.06358,,153,2487.71,
10448,0.05461,,344,2924.33,
10449,0.07912,,1031,2468.1,
10464,0.13297,,2959,2846.09,
10521,0.11412,,1070,2798.08,
10522,0.13778,,610,2804.65,
10523,0.09413,,593,2724.59,
10524,0.14132,,1909,2774.02,
10525,0.1106,,1356,2766.92,
11100,0.26452,,83081,3730.04,0.02812
11201,0.18895,,23047,3263.74,0.03929
11202,0.15846,,13599,3146.13,0.04987
11203,0.1879,,30794,3301.41,0.00299
11206,0.13905,,5492,2922.77,0.04919
11207,0.09127,,3628,2774.22,0.0804
11208,0.23426,,23251,3489.11,0.02306
11209,0.16402,,6366,3164.18,0.03441
11210,0.13224,,7778,3012.9,0.04239
11211,0.12968,,4854,2919.71,0.04729
11212,0.19162,,8165,3112.34,0.04639
11214,0.16421,,14197,3097.25,0.03937
11215,0.18818,,9366,3196.95,0.03177
11216,0.12848,,3344,2936.43,0.03816
11217,0.19094,,8188,3219.56,0.03404
11218,0.13177,,8739,2993.73,0.02883
11219,0.20182,,13673,3270.07,0.02101
11221,0.16399,,14716,3206.6,0.02979
11222,0.18357,,20515,3313.38,0.03976
11223,0.22085,,4220,3245.22,0.02089
11224,0.2183,,7924,3527.49,0.02504
11225,0.17988,,10748,3236.27,0.04678
11227,0.23543,,8923,3515.2,0.01379
11228,0.25311,,4705,3614.25,0.02796
11229,0.29564,,4726,3631.48,0.02629
11230,0.2037,,10229,3314.54,0.02874
11231,0.19057,,4655,3245.43,0.02938
11232,0.18175,,10429,3221.29,0.03127
11233,0.18662,,4459,3238.05,0.03125
11234,0.10815,,4206,3047.84,0.02071
11235,0.20231,,6510,3290.64,0.01936
11237,0.1514,,7581,3079.29,0.0166
11238,0.22227,,3591,3351.42,0.03628
11239,0.17895,,7947,3093.64,0.02446
11240,0.14564,,3095,3036.89,0.02383
11241,0.20404,,5310,3239.17,0.03014
11242,0.15573,,3246,3064.11,0.03354
11243,0.14892,,3822,3228.51,0.02245
11245,0.20987,,6914,3302.98,0.04767
11246,0.21274,,3346,3441.25,
11301,0.19041,,2363,3213.94,
11324,0.18009,,2165,3298.47,
11326,0.12066,,3784,2886.64,
11327,0.13316,,821,2854.06,
11341,0.16022,,844,3089.59,
11342,0.13339,,1080,2962.85,
11343,0.16243,,2291,2997.91,
11346,0.12573,,1395,2947.88,
11347,0.12044,,1543,2893.82,
11348,0.20874,,911,3190.07,
11349,0.09555,,764,2681.24,
11361,0.08699,,511,2843.5,
11362,0.09047,,480,2619.82,
11363,0.08344,,409,2779.38,
11365,0.05982,,645,2435.5,
11369,0.06876,,209,2584.4,
11381,0.07986,,784,2735.35,
11383,0.07684,,885,2607.4,
11385,0.10178,,1893,2768,
11408,0.1089,,2160,2739.78,
11442,0.18533,,2827,3051.75,
11464,0.15223,,2838,3119.87,
11465,0.11739,,2007,3062.02,
12100,0.24163,,58067,3617.57,0.02937
