year,region,gross_index,net_index
2081,russia,0.815847,0.787347
2081,mena,1.991560,1.976201
2081,ssa,3.586560,3.726891
2081,world,1.220975,1.186467
2082,us,1.473219,1.415835
2082,oecd-ex-us,1.402424,1.362408
2082,china,0.543370,0.494669
2082,india,1.389070,1.365633
2082,latam,0.976372,0.960790
2082,seasia,1.096492,1.084913
2082,russia,0.811118,0.781923
2082,mena,1.990653,1.972252
2082,ssa,3.605937,3.739906
2082,world,1.219401,1.184033
2083,us,1.474759,1.417070
2083,oecd-ex-us,1.405353,1.364289
2083,china,0.536795,0.488275
2083,india,1.380914,1.356127
2083,latam,0.970280,0.953737
2083,seasia,1.090593,1.077166
2083,russia,0.806323,0.776487
2083,mena,1.989422,1.968181
2083,ssa,3.624455,3.752397
2083,world,1.217718,1.181564
2084,us,1.476269,1.418297
2084,oecd-ex-us,1.408159,1.366092
2084,china,0.530248,0.481952
2084,india,1.372628,1.346640
2084,latam,0.964108,0.946677
2084,seasia,1.084501,1.069395
2084,russia,0.801468,0.771040
2084,mena,1.987897,1.963994
2084,ssa,3.642182,3.764375
2084,world,1.215939,1.179068
2085,us,1.477713,1.419481
2085,oecd-ex-us,1.410810,1.367811
2085,china,0.523721,0.475697
2085,india,1.364202,1.337170
2085,latam,0.957843,0.939608
2085,seasia,1.078210,1.061594
2085,russia,0.796540,0.765581
2085,mena,1.986055,1.959683
2085,ssa,3.659094,3.775824
2085,world,1.214042,1.176537
2086,us,1.479140,1.420592
2086,oecd-ex-us,1.413354,1.369434
2086,china,0.517249,0.469506
2086,india,1.355703,1.327708
2086,latam,0.951531,0.932527
2086,seasia,1.071774,1.053741
2086,russia,0.791576,0.760103
2086,mena,1.983975,1.955227
2086,ssa,3.675282,3.786676
2086,world,1.212077,1.173954
2087,us,1.480512,1.421669
2087,oecd-ex-us,1.415768,1.370983
2087,china,0.510811,0.463389
2087,india,1.347121,1.318278
2087,latam,0.945153,0.925455
2087,seasia,1.065189,1.045864
2087,russia,0.786558,0.754625
2087,mena,1.981642,1.950675
2087,ssa,3.690797,3.797027
2087,world,1.210023,1.171345
2088,us,1.481855,1.422752
2088,oecd-ex-us,1.418078,1.372459
2088,china,0.504424,0.457346
2088,india,1.338490,1.308881
2088,latam,0.938731,0.918420
2088,seasia,1.058487,1.037971
2088,russia,0.781505,0.749149
2088,mena,1.979104,1.946033
2088,ssa,3.705705,3.806889
2088,world,1.207906,1.168722
2089,us,1.483168,1.423802
2089,oecd-ex-us,1.420289,1.373866
2089,china,0.498091,0.451378
2089,india,1.329824,1.299522
2089,latam,0.932274,0.911394
2089,seasia,1.051681,1.030067
2089,russia,0.776422,0.743678
2089,mena,1.976374,1.941306
2089,ssa,3.720033,3.816283
2089,world,1.205733,1.166078
2090,us,1.484450,1.424819
2090,oecd-ex-us,1.422403,1.375203
2090,china,0.491815,0.445486
2090,india,1.321132,1.290202
2090,latam,0.925787,0.904379
2090,seasia,1.044784,1.022156
2090,russia,0.771313,0.738215
2090,mena,1.973467,1.936498
2090,ssa,3.733802,3.825276
2090,world,1.203508,1.163416
2091,us,1.485701,1.425802
2091,oecd-ex-us,1.424425,1.376475
2091,china,0.485599,0.439668
2091,india,1.312425,1.280948
2091,latam,0.919276,0.897379
2091,seasia,1.037808,1.014243
2091,russia,0.766183,0.732760
2091,mena,1.970396,1.931613
2091,ssa,3.747030,3.833807
2091,world,1.201236,1.160737
2092,us,1.486922,1.426750
2092,oecd-ex-us,1.426358,1.377689
2092,china,0.479445,0.433925
2092,india,1.303711,1.271759
2092,latam,0.912745,0.890396
2092,seasia,1.030764,1.006333
2092,russia,0.761035,0.727327
2092,mena,1.967171,1.926657
2092,ssa,3.759735,3.841882
2092,world,1.198921,1.158044
2093,us,1.488112,1.427664
2093,oecd-ex-us,1.428205,1.378875
2093,china,0.473356,0.428257
2093,india,1.294995,1.262615
2093,latam,0.906201,0.883431
2093,seasia,1.023659,0.998430
2093,russia,0.755873,0.721908
2093,mena,1.963802,1.921632
2093,ssa,3.771928,3.849508
2093,world,1.196567,1.155345
2094,us,1.489271,1.428548
2094,oecd-ex-us,1.429969,1.380000
2094,china,0.467331,0.422662
2094,india,1.286284,1.253516
2094,latam,0.899646,0.876486
2094,seasia,1.016504,0.990537
2094,russia,0.750701,0.716503
2094,mena,1.960298,1.916543
2094,ssa,3.783623,3.856693
2094,world,1.194177,1.152633
2095,us,1.490398,1.429402
2095,oecd-ex-us,1.431654,1.381064
2095,china,0.461374,0.417142
2095,india,1.277584,1.244465
2095,latam,0.893086,0.869564
2095,seasia,1.009306,0.982659
2095,russia,0.745522,0.711114
2095,mena,1.956669,1.911419
2095,ssa,3.794829,3.863443
2095,world,1.191754,1.149908
2096,us,1.491494,1.430222
2096,oecd-ex-us,1.433261,1.382069
