region,year,young,working,entrants
ssa,2050,773952424.3,998298168.8,38517087.7
us,2051,79436061.6,204991671.8,3973593.8
oecd-ex-us,2051,159394529.6,456838752.0,7958501.1
china,2051,173726947.5,672373876.7,8812728.0
india,2051,530539061.4,1124772785.4,26740444.5
latam,2051,155901349.4,358942411.2,7854992.4
seasia,2051,181356705.4,389732363.2,9130205.2
russia,2051,56867226.0,146895127.7,2863791.2
mena,2051,198954971.5,389909801.7,9970877.0
ssa,2051,777433005.5,1010201247.2,38697621.2
us,2052,79401755.3,205211954.7,3971803.1
oecd-ex-us,2052,159603138.7,456982862.0,7969726.5
china,2052,171225894.7,663908618.8,8686347.4
india,2052,526272290.3,1121297632.4,26526953.1
latam,2052,154698153.2,356616175.1,7795067.5
seasia,2052,180088667.4,387821568.8,9067835.3
russia,2052,56454993.0,145820590.2,2843361.3
mena,2052,198470640.9,390794458.4,9947748.6
ssa,2052,780783614.3,1021961628.0,38871650.3
us,2053,79368793.3,205426556.1,3970087.8
oecd-ex-us,2053,159796703.4,457135274.4,7980156.9
china,2053,168752397.8,655533441.7,8561294.7
india,2053,522011034.2,1117699805.4,26313614.5
latam,2053,153491189.4,354291838.2,7734907.7
seasia,2053,178802196.0,385898412.6,9004433.4
russia,2053,56039618.2,144753581.2,2822749.6
mena,2053,197965848.8,391633800.9,9923532.0
ssa,2053,784004527.4,1033576699.9,39039180.7
us,2054,79337020.0,205635484.4,3968439.7
oecd-ex-us,2054,159976018.4,457294589.1,7989835.2
china,2054,166307305.1,647247458.2,8437619.9
india,2054,517757580.7,1113982903.9,26100551.7
latam,2054,152281327.8,351969298.3,7674559.5
seasia,2054,177499351.0,383962450.5,8940109.8
russia,2054,55621560.3,143693763.6,2801980.9
mena,2054,197441827.3,392427756.8,9898292.4
ssa,2054,787096170.3,1045043930.5,39200226.4
us,2055,79306287.9,205838746.4,3966851.0
oecd-ex-us,2055,160141823.9,457459496.1,7998800.9
china,2055,163891330.8,639049844.8,8315365.3
india,2055,513514057.7,1110150540.3,25887879.0
latam,2055,151069381.0,349648491.5,7614066.4
seasia,2055,176182056.0,382013344.3,8874967.6
russia,2055,55201246.8,142640830.4,2781078.0
mena,2055,196899744.5,393176323.8,9872091.4
ssa,2055,790059107.5,1056360872.0,39354808.5
us,2056,79276457.7,206036348.1,3965314.4
oecd-ex-us,2056,160294809.2,457628769.8,8007091.2
china,2056,161505067.1,630939832.8,8194566.5
india,2056,509282441.9,1106206332.2,25675702.9
latam,2056,149856107.9,347329389.9,7553469.1
seasia,2056,174852107.2,380050852.6,8809102.8
russia,2056,54779075.4,141594503.4,2760062.3
mena,2056,196340707.9,393879564.2,9844987.2
ssa,2056,792894033.1,1067525166.4,39502955.4
us,2057,79247397.2,206228294.6,3963822.9
oecd-ex-us,2057,160435616.2,457801263.7,8014740.5
china,2057,159148995.0,622916701.9,8075253.4
india,2057,505064567.6,1102153895.1,25464122.1
latam,2057,148642216.9,345011997.1,7492805.4
seasia,2057,173511181.9,378074822.5,8742605.4
russia,2057,54355416.8,140554530.6,2738953.8
mena,2057,195765768.1,394537600.3,9817035.4
ssa,2057,795601761.5,1078534549.2,39644701.7
us,2058,79218981.5,206414589.8,3962369.9
oecd-ex-us,2058,160564842.7,457975905.1,8021780.8
china,2058,156823495.2,614979772.6,7957449.8
india,2058,500862134.3,1097996836.2,25253228.4
latam,2058,147428369.4,342696346.4,7432110.8
seasia,2058,172160845.6,376085181.8,8675559.1
russia,2058,53930615.6,139520683.9,2717770.8
mena,2058,195175922.2,395150609.6,9788288.4
ssa,2058,798183219.3,1089386853.6,39780088.1
us,2059,79191092.5,206595237.2,3960949.1
oecd-ex-us,2059,160683045.2,458151690.3,8028242.1
china,2059,154528856.6,607128400.7,7841174.8
india,2059,496676714.4,1093738747.5,25043106.7
latam,2059,146215182.4,340382497.0,7371418.5
seasia,2059,170802559.4,374081931.6,8608042.3
russia,2059,53504992.7,138492757.9,2696530.8
mena,2059,194572116.0,395718820.6,9758796.1
ssa,2059,800639436.8,1100080013.2,39909161.0
us,2060,79163618.2,206770239.4,3959554.6
oecd-ex-us,2060,160790742.1,458327680.3,8034152.3
china,2060,152265285.9,599361971.8,7726442.8
india,2060,492509760.4,1089383201.0,24833835.7
latam,2060,145003231.3,338070532.0,7310759.1
seasia,2060,169437686.5,372065139.8,8540128.0
russia,2060,53078846.3,137470567.7,2675249.6
mena,2060,193955247.5,396242508.9,9728605.8
ssa,2060,802971540.8,1110612064.7,40031971.8
us,2061,79136452.7,206939598.6,3958180.9
oecd-ex-us,2061,160888416.0,458502996.8,8039537.1
china,2061,150032915.1,591679896.2,7613264.3
india,2061,488362611.4,1084933743.2,24625488.0
latam,2061,143793052.9,335760556.0,7250161.6
seasia,2061,168067498.5,370034934.4,8471884.3
russia,2061,52652453.8,136453947.6,2653942.3
mena,2061,193326169.3,396721993.0,9697762.4
ssa,2061,805180747.0,1120981150.3,40148577.0
us,2062,79109495.8,207103316.4,3956822.6
oecd-ex-us,2062,160976516.0,458676818.0,8044420.8
china,2062,147831808.9,584081605.1,7501645.8
india,2062,484236500.0,1080393890.3,24418130.6
latam,2062,142585146.9,333452692.5,7189652.6
seasia,2062,166693181.0,367991498.3,8403374.9
russia,2062,52226072.8,135442749.2,2632622.7
mena,2062,192685690.8,397157631.3,9666308.5
ssa,2062,807268353.1,1131185519.5,40259037.3
us,2063,79082652.6,207261394.1,3955474.8
oecd-ex-us,2063,161055460.6,458848375.3,8048825.8
china,2063,145661971.4,576566546.6,7391590.4
india,2063,480132557.8,1075767124.5,24211825.0
latam,2063,141379979.2,331147082.1,7129257.3
seasia,2063,165315839.3,365935063.4,8334659.1
russia,2063,51799942.8,134436840.5,2611303.6
mena,2063,192034580.6,397549818.2,9634284.5
ssa,2063,809235732.6,1141223530.0,40363417.7
us,2064,79055833.3,207413832.6,3954132.6
oecd-ex-us,2064,161125639.2,459016949.8,8052773.0
china,2064,143523352.6,569134181.7,7283098.6
india,2064,476051821.7,1071056889.3,24006627.9
latam,2064,140177983.2,328843880.6,7068999.0
seasia,2064,163936503.0,363865905.8,8265792.0
russia,2064,51374285.7,133436104.0,2589997.1
mena,2064,191373568.8,397898981.7,9601729.0
ssa,2064,811084328.4,1151093649.3,40461786.6
us,2065,79028952.9,207560632.6,3952791.7
oecd-ex-us,2065,161187414.3,459181869.2,8056282.0
china,2065,141415853.6,561783982.4,7176167.6
india,2065,471995239.0,1066266586.8,23802591.1
latam,2065,138979562.3,326543257.1,7008899.2
seasia,2065,162556131.3,361784341.1,8196825.2
russia,2065,50949307.8,132440436.2,2568714.3
mena,2065,190703348.7,398205579.6,9568678.4
ssa,2065,812815646.5,1160794455.0,40554216.4
us,2066,79001931.0,207701794.8,3951447.6
oecd-ex-us,2066,161241123.7,459342505.0,8059370.7
china,2066,139339332.2,554515428.0,7070792.7
india,2066,467963672.9,1061399574.2,23599761.9
latam,2066,137785091.4,324245392.5,6948978.1
seasia,2066,161175616.7,359690720.1,8127806.6
russia,2066,50525200.0,131449745.9,2547465.4
mena,2066,190024579.0,398470097.6,9535167.4
ssa,2066,814431251.1,1170324635.1,40640782.3
us,2067,78974691.5,207837319.5,3950096.5
oecd-ex-us,2067,161287081.6,459498269.5,8062056.2
china,2067,137293607.5,547328003.5,6966966.6
india,2067,463957907.4,1056459160.9,23398183.6
latam,2067,136594918.9,321950477.7,6889254.6
seasia,2067,159795790.1,357585424.8,8058780.8
russia,2067,50102139.5,130463953.4,2526260.0
mena,2067,189337885.3,398693046.0,9501228.9
ssa,2067,815932758.7,1179682988.3,40721562.6
us,2068,78947162.5,207967207.3,3948734.6
oecd-ex-us,2068,161325580.7,459648613.6,8064354.1
china,2068,135278464.2,540221197.1,6864680.4
india,2068,459978651.8,1051448606.3,23197895.4
latam,2068,135409368.0,319658712.5,6829745.9
seasia,2068,158417423.7,355468864.7,7989789.5
russia,2068,49680290.0,129482989.5,2505107.0
mena,2068,188643861.9,398874957.9,9466894.3
ssa,2068,817321833.4,1188868423.3,40796637.9
us,2069,78919275.8,208091458.7,3947358.1
oecd-ex-us,2069,161356893.6,459793024.3,8066279.0
china,2069,133293656.9,533194498.6,6763923.2
india,2069,456026545.3,1046371117.3,22998932.6
latam,2069,134228738.8,317370304.3,6770468.4
seasia,2069,157041235.2,353341473.6,7920871.2
russia,2069,49259803.2,128506794.7,2484014.5
mena,2069,187943073.3,399016386.5,9432193.1
ssa,2069,818600181.7,1197879959.2,40866091.7
us,2070,78890967.1,208210074.3,3945963.8
oecd-ex-us,2070,161381274.1,459931022.3,8067844.7
china,2070,131338913.2,526247398.1,6664682.8
india,2070,452102161.1,1041229846.2,22801327.3
latam,2070,133053309.0,315085466.5,6711436.9
seasia,2070,155667891.2,351203706.0,7852061.8
russia,2070,48840819.3,127535318.0,2462990.2
mena,2070,187236055.7,399117903.4,9397153.7
ssa,2070,819769548.3,1206716723.7,40930009.1
us,2071,78862175.4,208323054.9,3944548.4
oecd-ex-us,2071,161398958.5,460062160.3,8069063.7
china,2071,129413937.7,519379384.3,6566945.7
india,2071,448206010.6,1036027889.5,22605108.1
latam,2071,131883336.0,312804418.0,6652665.5
seasia,2071,154298010.0,349056034.5,7783394.6
russia,2071,48423467.4,126568516.7,2442041.0
mena,2071,186523318.6,399180096.0,9361802.8
ssa,2071,820831711.7,1215377953.1,40988477.4
us,2072,78832843.2,208430401.6,3943108.8
oecd-ex-us,2072,161410166.9,460186020.7,8069947.9
china,2072,127518414.5,512589943.6,6470696.9
india,2072,444338546.8,1030768286.1,22410300.5
latam,2072,130719057.4,310527381.8,6594166.8
seasia,2072,152932165.0,346898947.0,7714900.5
russia,2072,48007867.0,125606355.0,2421173.4
mena,2072,185805345.6,399203566.4,9326165.9
ssa,2072,821788479.7,1223862990.6,41041585.6
us,2073,78802916.0,208532115.5,3941642.2
oecd-ex-us,2073,161415104.4,460302214.0,8070508.3
china,2073,125652010.3,505878559.3,6375920.7
india,2073,440500168.4,1025454015.9,22216927.3
latam,2073,129560692.9,308254583.8,6535952.9
seasia,2073,151570887.4,344732944.3,7646608.3
russia,2073,47594128.0,124648804.1,2400393.4
mena,2073,185082596.1,399188928.9,9290267.3
ssa,2073,822641686.0,1232171285.2,41089424.0
us,2074,78772342.4,208628198.4,3940145.8
oecd-ex-us,2074,161413962.2,460410377.2,8070755.2
china,2074,123814376.8,499244710.6,6282600.5
india,2074,436691223.0,1020087998.9,22025008.4
latam,2074,128408444.8,305986252.7,6478034.6
seasia,2074,150214668.4,342558537.7,7578544.4
russia,2074,47182351.4,123695840.8,2379706.4
mena,2074,184355506.5,399136809.1,9254129.8
ssa,2074,823393186.1,1240302390.3,41132084.3
us,2075,78741073.8,208718652.1,3938617.1
oecd-ex-us,2075,161406918.2,460510172.0,8070698.1
china,2075,122005153.0,492687872.0,6190718.8
india,2075,432912010.0,1014673094.6,21834561.1
latam,2075,127262499.5,303722618.6,6420422.2
seasia,2075,148863962.5,340376246.9,7510733.4
russia,2075,46772630.2,122747447.3,2359117.6
mena,2075,183624491.0,399047841.6,9217775.3
ssa,2075,824044854.0,1248255962.2,41169659.3
us,2076,78709064.4,208803479.1,3937053.7
oecd-ex-us,2076,161394138.5,460601283.5,8070345.9
china,2076,120223967.1,486207512.9,6100257.6
india,2076,429162784.1,1009212100.7,21645600.5
latam,2076,126123028.2,301463912.5,6363125.0
seasia,2076,147519189.0,338186598.0,7443198.1
russia,2076,46365049.5,121803611.0,2338631.5
mena,2076,182889942.7,398922669.3,9181224.5
ssa,2076,824598578.8,1256031757.9,41202242.7
us,2077,78676270.8,208882682.2,3935453.2
oecd-ex-us,2077,161375777.7,460683418.7,8069706.9
china,2077,118470438.9,479803097.4,6011198.4
india,2077,425443758.0,1003707753.0,21458139.2
latam,2077,124990188.0,299210365.3,6306151.4
seasia,2077,146180734.6,335990121.8,7375959.5
russia,2077,45959687.5,120864323.3,2318252.5
mena,2077,182152235.0,398761941.5,9144497.1
ssa,2077,825056261.7,1263629633.8,41229928.9
us,2078,78642652.2,208956264.5,3933813.5
oecd-ex-us,2078,161351980.3,460756305.4,8068788.9
china,2078,116744180.9,473474083.6,5923521.9
india,2078,421755105.2,998162725.2,21272187.9
latam,2078,123864122.5,296962208.0,6249509.4
seasia,2078,144848955.2,333787352.4,7309036.7
russia,2078,45556615.3,119929579.5,2297984.4
mena,2078,181411722.1,398566313.2,9107611.8
ssa,2078,825419812.6,1271049543.2,41252813.1
us,2079,78608170.1,209024230.0,3932132.6
oecd-ex-us,2079,161322881.0,460819690.7,8067599.0
china,2079,115044800.5,467219923.7,5837209.0
india,2079,418096962.5,992579627.9,21087755.3
latam,2079,122744963.0,294719670.2,6193206.1
seasia,2079,143524178.2,331578825.1,7242447.8
russia,2079,45155898.0,118999378.7,2277830.8
mena,2079,180668739.9,398336443.2,9070586.1
ssa,2079,825691147.7,1278291534.6,41270990.6
us,2080,78572788.1,209086582.9,3930408.5
oecd-ex-us,2080,161288605.3,460873340.4,8066144.0
china,2080,113371900.6,461040063.8,5752240.0
india,2080,414469432.6,986961009.3,20904848.1
latam,2080,121632828.9,292482980.3,6137248.2
seasia,2080,142206703.7,329365075.6,7176208.9
russia,2080,44757594.7,118073722.7,2257794.9
mena,2080,179923607.4,398072993.7,9033437.0
ssa,2080,825872186.7,1285355749.6,41284557.4
us,2081,78536472.0,209143328.0,3928639.4
oecd-ex-us,2081,161249270.7,460917037.3,8064430.3
china,2081,111725081.5,454933944.0,5668595.0
india,2081,410872586.2,981309354.7,20723471.6
latam,2081,120527828.6,290252364.5,6081641.4
seasia,2081,140896806.7,327146638.5,7110335.2
russia,2081,44361759.1,117152616.2,2237879.7
mena,2081,179176626.8,397776629.0,8996180.4
ssa,2081,825964850.2,1292242420.3,41293609.3
us,2082,78499189.7,209194470.9,3926823.6
oecd-ex-us,2082,161204987.0,460950580.6,8062463.5
china,2082,110103942.0,448900998.3,5586254.1
india,2082,407306464.5,975627086.9,20543629.3
latam,2082,119430060.0,288028046.9,6026391.4
seasia,2082,139594738.6,324924046.0,7044840.3
russia,2082,43968439.7,116236066.3,2218088.0
mena,2082,178428084.7,397448014.3,8958831.3
ssa,2082,825971057.5,1298951867.0,41298242.5
us,2083,78460911.0,209240017.5,3924959.5
oecd-ex-us,2083,161155856.5,460973785.0,8060249.3
china,2083,108508080.0,442940654.7,5505197.1
india,2083,403771081.0,969916566.3,20365323.2
latam,2083,118339611.6,285810248.7,5971503.0
seasia,2083,138300728.2,322697827.3,6979736.9
russia,2083,43577680.2,115324082.0,2198422.0
mena,2083,177678252.8,397087815.4,8921404.2
ssa,2083,825892724.3,1305484496.4,41298552.9
us,2084,78421607.2,209279974.7,3923045.5
oecd-ex-us,2084,161101975.4,460986479.8,8057792.8
china,2084,106937093.7,437052335.2,5425404.0
india,2084,400266423.6,964180091.2,20188554.0
latam,2084,117256562.4,283599188.3,5916980.6
seasia,2084,137014983.7,320468507.2,6915036.4
russia,2084,43189519.8,114416674.5,2178884.0
mena,2084,176927388.5,396696697.3,8883912.6
ssa,2084,825731760.4,1311840798.6,41294636.2
us,2085,78381251.8,209314349.7,3921080.4
oecd-ex-us,2085,161043433.4,460988507.8,8055098.8
china,2085,105390582.5,431235456.5,5346854.7
india,2085,396792456.4,958419898.1,20013321.2
latam,2085,116180983.1,281395080.4,5862828.1
seasia,2085,135737693.9,318236605.6,6850749.2
russia,2085,42803993.6,113513856.0,2159476.0
mena,2085,176175735.6,396275323.8,8846369.4
ssa,2085,825490068.1,1318021344.7,41286588.0
us,2086,78339819.8,209343150.5,3919062.6
oecd-ex-us,2086,160980314.7,460979725.1,8052171.7
china,2086,103868147.3,425489429.5,5269529.1
india,2086,393349121.5,952638162.4,19839622.8
latam,2086,115112936.0,279198136.3,5809049.2
seasia,2086,134469029.0,316002636.3,6786884.7
russia,2086,42421132.7,112615640.3,2140199.7
mena,2086,175423524.9,395824356.6,8808786.8
ssa,2086,825169540.3,1324026784.7,41274503.4
us,2087,78297287.5,209366385.8,3916991.0
oecd-ex-us,2087,160912698.2,460959999.9,8049015.7
china,2087,102369391.6,419813660.1,5193407.4
india,2087,389936340.6,946836998.9,19667456.1
latam,2087,114052476.1,277008563.3,5755646.8
seasia,2087,133209142.3,313767107.0,6723451.5
