region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
russia,2085,8347181596098.327,110475102.07402024,6772707.686874174,340818491632.0524,402939961501.4743,47921047207.12207,24895746407.970604,0.0,2620434870.326171,423503838302.20465,27357170406.391685,96469.29210774116,-82685346670.15222,-85146770668.5733
mena,2085,15677235405484.32,251108627.17052597,0.0,925573760858.2585,873254819358.7782,217809552750.65665,0.0,9939990988.783617,3681343602.8923316,1091064372109.4348,0.0,96849.82054596348,-165490611251.17627,-175430602239.9599
ssa,2085,16360904475257.473,1376034103.0809538,0.0,822431090523.3204,766022105766.8293,110998640578.26169,0.0,9761823410.059792,10743748052.859335,877020746345.0911,0.0,47423.0296074535,-54589655821.77063,-64351479231.83042
us,2086,33789284101414.668,146875801.8054536,35642394.55299213,1254790115590.5327,1665079051923.183,182616968563.75946,447153740335.65814,0.0,5828650431.006681,1402829961877.851,444866058609.0907,152760.97224634764,-148039846287.31836,-145752164560.75092
oecd-ex-us,2086,29637178485380.246,204648836.61388466,35369521.50582441,1107724764834.5037,1472211140783.7522,158790111460.0397,271857950451.45813,0.0,4398149331.480911,1343815252788.5098,287185999455.28204,130066.87964497885,-236090487954.0061,-251418536957.83002
china,2086,9887803765028.205,149204409.07952708,0.0,306060972938.52344,544626805430.8251,61020806586.376175,0.0,5034788724.499371,179210183630.0039,605647612017.2013,0.0,104542.17997256889,-299586639078.67786,-304621427803.17725
india,2086,16482992904340.477,702223865.2035292,0.0,884319488140.479,884059318714.8872,197563028739.36896,0.0,33673272861.089996,185158047078.92874,1081622347454.2561,0.0,67944.15210528357,-197302859313.7771,-230976132174.8671
latam,2086,7829248923669.174,178588471.05164403,0.0,327325684205.6093,406650143811.1974,57479839431.37545,0.0,7790460962.467068,2073319838.2989767,464129983242.5728,0.0,85524.60605693856,-136804299036.9635,-144594759999.43057
seasia,2086,9398612698692.47,233720776.6870377,0.0,399047593804.0051,484873458123.5342,68335052294.01286,0.0,3898242988.2385206,3762472639.0093575,553208510417.547,0.0,81974.48297896248,-154160916613.54187,-158059159601.7804
russia,2086,8265326535977.527,109371038.39168443,6742713.010360651,337755906076.02106,399525897542.23486,47425234438.5449,24806306669.70671,0.0,2533859114.2535777,419729704058.38525,27221427922.394608,98580.5123881819,-81973797982.3642,-84388919235.0521
mena,2086,15688143800480.691,248597653.3340216,0.0,915043302610.1672,863689827944.5112,217230176276.5397,0.0,12654435859.448696,189439532466.6985,1080920004221.0509,0.0,98963.52449085074,-165876701610.88367,-178531137470.33237
ssa,2086,16303958901036.139,1373696780.4140017,0.0,815780475406.0308,764392831184.8748,110450420157.46175,0.0,8692680658.497263,10809882373.47057,874843251342.3365,0.0,48979.82980658072,-59062775936.305786,-67755456594.80305
us,2087,33653029739651.18,146100267.79537845,35687231.15883059,1250543288191.7883,1658906884950.1858,181549442446.86575,447955299352.4194,0.0,5703378089.383684,1395055839856.3904,445400487540.6621,155066.16061477683,-144512551664.60205,-141957739852.8448
oecd-ex-us,2087,29397701337391.4,202548089.7742934,35282223.82755497,1102166392019.853,1461094003060.6006,157283757446.61227,272580016700.52377,0.0,4154203797.990126,1332046269939.3687,286331490567.84314,132348.50110526668,-229879877919.51562,-243631351786.835
