region,year,pop,pop2564,entrants,gdppc,gdp,gross_cur,gross_con,net_cur,net_con,inv_cur,inv_con,tert_stock
oecd-ex-us,2020,803430215.9999999,427631314.0,9013273.2,36446.312522691216,29282068742509.305,121548285111501.52,135888548332366.97,42956990769396.66,48025055318759.42,2482982313414.63,2775924496140.251,0.3361263575507752
oecd-ex-us,2025,805784143.0000001,423262804.0,8776223.6,40746.2474376583,32832680072019.44,135729862460413.56,135729862460413.56,48561855005184.33,48561855005184.33,2724182015738.204,2724182015738.204,0.3532051581986607
china,1925,478391730.0,201298622.625934,8090342.713245774,1959.0,937169399070.0,1461709828674.421,17554344868285.883,,,61046851465.003975,733139685262.6613,7.7485639841298e-05
china,1930,488146934.0,205403436.74685326,8255318.273332538,1021.3282255760664,498558241922.6172,782586421928.1445,18027058544381.273,,,32797336642.41381,755494206372.5983,0.00015056695230676
china,1935,502700411.0,211527277.71400002,8501440.037601624,1018.7891084900024,512145703560.2478,812148332829.2429,18754649779320.168,,,42964964507.88938,992174495167.9995,0.001223714937096759
china,1940,519252214.0,218491978.26573366,8781356.579620712,1992.0,1034350410288.0,1654171059466.1387,19536599753738.254,,,87615270436.67941,1034780811235.6718,0.0013382426315977044
china,1945,533085586.0,224312812.02026397,9015300.256614916,1405.715013520712,749366411731.6868,1212005676410.6594,20284544764555.246,,,64097461595.861305,1072757210911.8336,0.0014396584725896286
china,1950,553815884.0000001,233035748.00000003,9365881.6,819.430027041424,453813364802.0902,750774646745.6682,21555376807796.367,74166303644.81197,2129377474898.8442,38990834318.85732,1119459919746.1208,0.002563291781918026
china,1955,615324781.0,246721552.0,10367209.6,1142.7691557098683,703174180470.7296,1154028022380.3677,23758320661241.164,151201912427.85062,3112839073564.3296,62753409129.901566,1291923235641.2002,0.004656215481015297
china,1960,669116487.0,264405678.0,10571721.8,1092.450211893074,730976448004.2993,1229917859275.243,26486974260605.95,37957857301.92886,817443849409.9044,61882902448.472115,1332683180395.5933,0.006738022547102968
china,1965,740661588.9999998,283140003.99999994,10780892.6,1310.4882446243032,970628305629.2568,1657348409015.137,29753535662799.1,318341646057.5648,5715026163120.672,78250144794.89597,1404785174384.4565,0.00978103903017398
china,1970,842122026.0,304859981.0,13701594.8,1479.8274384694073,1246195280614.2476,2095264636088.766,33310849043752.05,471075325474.93884,7489230135828.661,114477555961.64648,1819982316245.4836,0.011749407777483753
china,1975,937144386.0,340295014.99999994,18595122.4,1706.9406360583494,1599649834317.3513,2827990812423.1484,38977813352176.56,744790339934.5409,10265344119558.223,192820638836.2339,2657620681789.402,0.012002525971658998
china,1980,1006458646.0000001,399112153.99999994,17970218.6,2117.3565960863075,2131031852796.194,4299503818170.0557,47772968449792.86,1363355443362.4885,15148616988397.2,231875184412.03156,2576428894513.834,0.012921556666480344
china,1985,1085063909.0,452309833.00000006,22051266.4,2853.4494535845874,3096175018240.4067,6820884927113.803,56237814369549.5,2260773939620.5923,18639954566965.06,379907181663.25616,3132313444419.505,0.017349436549021637
china,1990,1180089353.0,521512397.0,26094816.0,3327.779536606213,3927077200280.2656,9481730662387.951,67033355997976.67,3369047969564.442,23818288027725.605,558776364145.5784,3950402756071.5615,0.024808932918646092
china,1995,1248244222.0,606823201.0,24936714.4,4437.616451211613,5539229094677.041,15485118451644.803,82096125993089.81,5881383851198.369,31180828946802.082,738666518964.5161,3916125007190.161,0.03435508197732256
china,2000,1299056019.0,682140570.0,19799227.8,5253.963873927801,6825193394034.467,21521744285746.746,96371424748518.36,8134721024134.886,36426167164656.64,726339856533.9408,3252450447158.612,0.03600000000000001
china,2005,1340255964.9999998,728116263.0,21583147.8,7209.540174052913,9662629223181.553,32916328988765.625,107414206129232.88,11920238679670.92,38898717262329.89,1129888416487.8647,3687108222581.03,0.0625
