region,year,gdppc,pop,gdp
oecd-ex-us,2001,29312.341860951998,751792.794,22036807386.328262
oecd-ex-us,2002,29816.945827067848,754765.831,22504811895.048847
oecd-ex-us,2003,30309.243550761166,757883.134,22970864491.42016
oecd-ex-us,2004,31195.940971027565,760818.321,23734443431.5923
oecd-ex-us,2005,31944.59818713887,763806.8910000001,24399504225.56278
oecd-ex-us,2006,32977.04860021985,766753.902,25285280690.66221
oecd-ex-us,2007,34021.671401838474,770095.725,26199943703.910564
oecd-ex-us,2008,34241.2260448625,773550.41,26487314445.906067
oecd-ex-us,2009,32982.26266287811,776710.358,25617665040.53409
oecd-ex-us,2010,33964.406688664036,779189.513,26464709507.074074
oecd-ex-us,2011,34570.55852516979,781385.593,27012936373.531002
oecd-ex-us,2012,34622.49460828176,783504.339,27126874752.592865
oecd-ex-us,2013,34869.52264622013,785443.842,27388051835.953148
oecd-ex-us,2014,35388.46882664937,787804.246,27879186001.07301
oecd-ex-us,2015,35988.97426669519,790324.812,28442979321.398716
oecd-ex-us,2016,36544.19545638632,793042.615,28981104327.803726
oecd-ex-us,2017,37445.36057797579,795264.7390000001,29778974906.80481
oecd-ex-us,2018,38083.4664290959,797684.409,30378587411.164703
oecd-ex-us,2019,38511.50087614778,800213.1888558235,30817410923.726055
oecd-ex-us,2020,36446.312522691216,801579.0875863712,29214601937.82656
oecd-ex-us,2021,38221.12967170665,801619.9709844581,30638820858.426697
oecd-ex-us,2022,39289.355165489476,803195.0051562946,31557013824.73281
russia,1950,3310.834623352411,101936.816,337495939.80710405
russia,1951,3456.2604717351055,103506.916,357746862.3220059
russia,1952,3686.917162162952,105385.09,388546096.9570873
russia,1953,3849.794948499366,107302.806,413093800.49860746
russia,1954,4108.752259979994,109208.917,448712384.5337176
russia,1955,4312.620959531007,111125.498,479242151.8131211
russia,1956,4615.278893872846,112859.299,520877140.6519848
russia,1957,4850.401826290252,114554.838,555636995.4455839
