region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
latam,2031,5475143523772.146,312854124.4686533,0.0,380315620011.89197,268357627149.71997,41216731166.951385,0.0,7526672740.16953,1964657514.831429,309574358316.6714,0.0,17643.627903711116,70741261695.22058,63214588955.05105
seasia,2031,5611118002338.514,353113781.3179586,0.0,417398759947.5338,267990452086.01837,40472079719.313934,0.0,1667358622.3463564,2206382296.1106725,308462531805.3323,0.0,16006.98649853841,108936228142.20154,107268869519.85518
russia,2031,5252322283293.768,145695400.7844581,1130876.4403066088,273898380889.5139,258285956629.30713,31104273286.999233,9835103100.62798,0.0,2297196817.540837,287026295977.58154,2363933938.7247915,24449.08579715517,-13127915088.067657,-5656745926.16447
mena,2031,6296865381865.94,246572763.92365572,396173.14328616235,664581760608.7473,311348830174.4054,95190114539.1279,0.0,7584569214.677488,1680629410.196356,405331024756.02423,1207919957.5090218,24667.753166027112,259250735852.72308,250458246680.53656
ssa,2031,2278845684601.4727,580118738.5945679,0.0,292405186875.1032,85818894402.82547,13209628497.273596,0.0,3586909514.3075747,1256970841.6791098,99028522900.09906,0.0,4906.152742525057,193376663975.00415,189789754460.69656
us,2032,19216410257117.03,172062929.91921562,6581196.280842045,815092919437.3306,959161880731.6724,109471222660.98587,183354753484.033,0.0,5441743554.542292,1026271097558.8396,42362005833.81841,67858.00578844365,-211178178121.50903,-70185430471.29446
oecd-ex-us,2032,23367956828089.105,380870004.34571177,8550942.835606849,904457596171.4753,1193204227062.4766,127605189559.12811,145857432327.6112,0.0,5215787833.371375,1285144762300.74,35664654320.864975,47165.883974343735,-380687166129.26465,-270494388122.51843
china,2032,21867071856459.16,732723347.3102483,0.0,879884542855.7045,1118143940219.3323,117072255118.60547,0.0,7876860560.386558,8397820832.49275,1235216195337.9377,0.0,28776.937962116455,-355331652482.2333,-363208513042.6198
india,2032,7169726041518.55,826338919.2649544,0.0,719921176365.9639,346435715901.30615,101378155300.88351,0.0,18845478594.01782,2978828380.4545474,447813871202.1897,0.0,10858.826810265658,272107305163.77417,253261826569.75635
latam,2032,5532631040664.86,312742178.7282213,0.0,374387873467.59015,269806133166.1116,41579657315.23559,0.0,7400685225.949867,1886119132.4205048,311385790481.34717,0.0,18273.401366102265,63002082986.24298,55601397760.29311
