region,year,agegrp,pop_thousands,series
china,1969,55-59,24991.836,estimate
china,1969,60-64,20056.332,estimate
china,1969,65-69,14341.911,estimate
china,1969,70-74,8642.329,estimate
china,1969,75-79,4610.756,estimate
china,1969,80-84,1886.398,estimate
china,1969,85-89,510.718,estimate
china,1969,90-94,68.898,estimate
china,1969,95-99,4.762,estimate
china,1970,0-4,138130.873,estimate
china,1970,10-14,91646.482,estimate
china,1970,100+,0.243,estimate
china,1970,15-19,94205.491,estimate
china,1970,20-24,68507.974,estimate
china,1970,25-29,52965.119,estimate
china,1970,30-34,50336.761,estimate
china,1970,35-39,47757.373,estimate
china,1970,40-44,41293.258,estimate
china,1970,45-49,36087.93,estimate
china,1970,5-9,113669.806,estimate
china,1970,50-54,30361.658,estimate
china,1970,55-59,25648.258,estimate
china,1970,60-64,20409.624,estimate
china,1970,65-69,14904.31,estimate
china,1970,70-74,8851.695,estimate
china,1970,75-79,4801.852,estimate
china,1970,80-84,1943.079,estimate
china,1970,85-89,522.247,estimate
china,1970,90-94,73.455,estimate
china,1970,95-99,4.538,estimate
china,1971,0-4,139427.77,estimate
china,1971,10-14,86138.386,estimate
china,1971,100+,0.152,estimate
china,1971,15-19,96768.791,estimate
china,1971,20-24,73508.788,estimate
china,1971,25-29,54181.086,estimate
china,1971,30-34,50420.715,estimate
china,1971,35-39,48720.516,estimate
china,1971,40-44,42221.591,estimate
china,1971,45-49,36739.78,estimate
china,1971,5-9,125169.631,estimate
china,1971,50-54,30960.853,estimate
china,1971,55-59,26347.45,estimate
china,1971,60-64,20659.154,estimate
china,1971,65-69,15356.827,estimate
china,1971,70-74,9202.268,estimate
china,1971,75-79,5002.885,estimate
china,1971,80-84,1994.494,estimate
china,1971,85-89,537.927,estimate
china,1971,90-94,80.104,estimate
china,1971,95-99,4.535,estimate
china,1972,0-4,140580.344,estimate
china,1972,10-14,84385.518,estimate
china,1972,100+,0.107,estimate
china,1972,15-19,98354.797,estimate
china,1972,20-24,78994.523,estimate
china,1972,25-29,56191.826,estimate
china,1972,30-34,50565.751,estimate
china,1972,35-39,49501.536,estimate
china,1972,40-44,43190.88,estimate
china,1972,45-49,37414.541,estimate
china,1972,5-9,131541.205,estimate
china,1972,50-54,31554.854,estimate
china,1972,55-59,27031.718,estimate
china,1972,60-64,20966.695,estimate
china,1972,65-69,15700.083,estimate
china,1972,70-74,9633.365,estimate
