region,year,lu,lp,ls,lh,cov_pop,source
mena,1950,89.71770393653645,7.285142942673252,2.2356234096692114,0.723409669211196,33405.0,leelee
mena,1955,87.42398979728823,9.24087528527319,2.506932474157605,0.775994093166868,37245.0,leelee
mena,1960,85.0892425007818,10.841396646700824,3.0679199441918645,0.982037959154218,41571.0,leelee
mena,1965,81.68924539904246,13.23418324768305,3.834969473360566,1.2086814248693285,45534.0,leelee
mena,1970,78.74206444152011,14.576291023647165,5.0990569047334215,1.544189895123021,50154.0,leelee
mena,1975,74.81484736191987,15.963972119287101,7.141229927651315,2.0675154402682194,56670.0,leelee
mena,1980,66.26660289115647,20.489569667152576,10.217562560738582,3.0640518707482993,65856.0,leelee
mena,1985,56.01672843450479,25.81278722044728,12.177556549520768,5.913091373801917,78250.0,leelee
mena,1990,48.32442670142849,28.202571288903375,16.88321329639889,6.544803649991851,92055.0,leelee
mena,1995,40.61551528985644,30.49429059216359,21.262096059159763,7.626570016412307,106018.0,leelee
mena,2000,32.671926626409935,33.064966063900776,25.78155406175231,8.409275053304905,122878.0,leelee
mena,2005,26.305823503165172,33.48375861011182,30.41644078195153,9.812103655985945,143436.0,leelee
mena,2010,21.441135433921712,32.11714965950044,33.53950922940824,12.915062726727584,168429.0,leelee
oecd-ex-us,1870,73.23357944209859,25.4910413117021,1.1739445720259114,0.15255286399815624,121491.0,leelee
oecd-ex-us,1875,71.3559581963363,27.24774776890559,1.304175669328323,0.15781117895725696,127740.0,leelee
oecd-ex-us,1880,68.80443870397464,29.465308766154596,1.5841029626920264,0.19167581077785906,131232.0,leelee
oecd-ex-us,1885,65.90864694136869,32.15822907968778,1.742346705391178,0.2223162098384462,137725.0,leelee
oecd-ex-us,1890,60.42970189319016,37.33258759536593,1.996547047188471,0.27677521898841484,141560.0,leelee
oecd-ex-us,1895,56.496939649070775,41.12150536909585,2.088572218215155,0.3297184342327889,148349.0,leelee
oecd-ex-us,1900,50.90192982912429,46.310549038986714,2.422006424094255,0.392931545683893,153796.0,leelee
oecd-ex-us,1905,44.98532664109536,51.8833383909497,2.680237667508254,0.4593234123130705,164768.0,leelee
oecd-ex-us,1910,39.20221719881,56.67403253765607,3.4906035512661346,0.6351255592775656,170756.0,leelee
oecd-ex-us,1915,34.520211439765575,60.250512949201585,4.4267526888683815,0.8286004932515205,185301.0,leelee
oecd-ex-us,1920,28.996551234239035,64.20691943408512,5.729946131533771,1.067509027407802,168930.0,leelee
oecd-ex-us,1925,24.594464178339972,66.85092031712804,7.180053671246909,1.3682554617731555,179612.0,leelee
