region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
oecd-ex-us,2086,30576223338172.35,212096035.63612294,35471522.00745551,1172518993693.1504,1504350877486.0698,165345309348.8963,271379261211.76968,0.0,4394069108.643093,1383103380661.4514,286592806173.5156,130066.87964497885,-210584386968.30103,-225797931930.04697
china,2086,11161528969713.443,162561087.60293058,0.0,393402464765.9769,587949999873.7897,66140118647.79876,0.0,5290983308.704394,193226064856.57904,654090118521.5884,0.0,104542.17997256889,-260687653755.61145,-265978637064.31586
india,2086,16094039672753.943,712909161.7786193,0.0,859296127685.6233,852548791416.281,188981092151.0452,0.0,33355871508.090786,200957862219.2519,1041529883567.3262,0.0,67944.15210528357,-182233755881.70288,-215589627389.79367
latam,2086,7874614043570.519,182830478.6187741,0.0,338083062799.8456,403132940245.6473,56666854355.109634,0.0,7820075140.990317,1896808690.2792299,459799794600.7569,0.0,85524.60605693856,-121716731800.91132,-129536806941.90163
seasia,2086,9661340458440.584,242935690.13774973,0.0,419222858461.8093,489016015699.78015,68469458648.088745,0.0,3923378114.1679897,3572882773.361569,557485474347.8689,0.0,81974.48297896248,-138262615886.05957,-142185994000.22757
russia,2086,8486291267998.294,113423047.67407043,6762698.277827751,353112956941.9683,408759375726.43243,49990060924.61312,24754856496.380157,0.0,2615630291.06963,431572920444.536,27176516206.509384,98580.5123881819,-78459963502.56769,-80881623212.69691
mena,2086,14373498933464.7,238566909.14219365,0.0,822717426012.8329,791110842220.5496,198277416825.05002,0.0,12333165031.263388,185762773486.6768,989388259045.5996,0.0,98963.52449085074,-166670833032.76672,-179003998064.03012
ssa,2086,14937887090281.238,1344741760.9845204,0.0,680063816934.4886,694582515021.4305,92672125951.24677,0.0,8362136564.212727,8268314932.481504,787254640972.6772,0.0,48979.82980658072,-107190824038.1886,-115552960602.40132
us,2087,32850139562827.273,145018327.12165117,35755846.33000522,1219452701325.8398,1627686548475.9778,183848485479.76108,447288161005.5913,0.0,5773996172.7773905,1366627948102.5364,444907085853.2015,155066.16061477683,-147175246776.69653,-144794171624.3067
oecd-ex-us,2087,30362522239291.484,209986189.04630744,35382736.26389631,1168320549625.4468,1494181981091.949,164101246235.3537,272101236042.6128,0.0,4160342778.370958,1372605680712.8455,285677546614.4565,132348.50110526668,-204285131087.39868,-217861441659.24237
china,2087,10908808986569.7,157514422.96869162,0.0,390266099234.2804,574872302535.6133,64729126969.92195,0.0,5958054285.291108,2573401412.79479,639601429505.5353,0.0,106725.2019331531,-249335330271.25488,-255293384556.546
india,2087,15890705494379.516,702160911.9441252,0.0,849148040438.0499,841380611766.8961,186351850513.10092,0.0,29383238014.721313,4633481482.23501,1027732462279.9971,0.0,69812.72795628989,-178584421841.94714,-207967659856.66846
latam,2087,7750606550310.168,179326128.36791855,0.0,333870383760.6404,396546198623.11066,55729538436.29243,0.0,7496243626.533908,1894103664.9446993,452275737059.4031,0.0,87573.86606696805,-118405353298.7627,-125901596925.2966
seasia,2087,9525573794981.525,239014098.5269597,0.0,414156431858.5659,481985352499.4436,67443967610.12133,0.0,4016622151.216182,3522846943.1503477,549429320109.56494,0.0,83992.07536276645,-135272888250.99902,-139289510402.2152
russia,2087,8411090137628.36,112345132.79494202,6750840.808052829,350181076098.0963,405515454650.716,49512594713.16011,26985978317.410625,0.0,2659864578.4369097,427939468113.9205,27088581249.95558,100727.72182228231,-77758392015.82416,-77860994948.36911
mena,2087,14199345038703.588,235649357.97744998,0.0,813240881614.0618,781718434492.4242,195794715700.0272,0.0,13167096560.251432,3285470377.534159,977513150192.4514,0.0,101113.19488057579,-164272268578.38965,-177439365138.64108
ssa,2087,14826668082666.469,1336465211.927671,0.0,673138428073.2084,690612265982.2168,91897606079.15047,0.0,10288785004.840677,8441221378.2346,782509872061.3673,0.0,50574.525766229104,-109371443988.15894,-119660228992.99962
us,2088,33241184333426.92,144238216.79525784,35833365.182239965,1215664761847.6318,1620177483041.5674,187930858116.68143,464335858522.7399,0.0,519152491387.54285,1360774625354.124,447333715804.1248,157405.9249237484,-145109863506.4922,-128107720787.87708
oecd-ex-us,2088,30165493551808.367,208013540.33534464,35322027.079418905,1163989333705.104,1484376233008.919,162914753923.0459,281997012867.8798,0.0,4275952875.8710384,1362320602076.9424,284970384855.02216,134665.09407535597,-198331268371.83838,-201304640358.9807
china,2088,10666201255782.395,152897977.21311682,0.0,386529242686.00916,562305913088.5579,63338255199.816345,0.0,5950991104.969337,2458185920.03391,625644168288.3743,0.0,108944.36641868131,-239114925602.3651,-245065916707.33444
india,2088,15690149960163.4,691606103.5882758,0.0,839084031907.9673,830524720273.7128,183825468390.17075,0.0,29760946145.990406,4471568685.7969,1014350188663.8835,0.0,71719.52202098836,-175266156755.91626,-205027102901.90668
latam,2088,7630053338128.448,179686998.42841247,0.0,329737704441.7527,390118788770.44696,54819265576.42165,0.0,7213264061.886977,1860401785.2862463,444938054346.8686,0.0,89660.40616660006,-115200349905.1159,-122413613967.00288
seasia,2088,9393362458388.574,235222068.16885188,0.0,409068205600.18414,475056643504.2788,66435436295.645706,0.0,3308753250.9889216,3521290857.776625,541492079799.9245,0.0,86047.15878400164,-132423874199.74036,-135732627450.72928
russia,2088,8334443859915.162,113165954.5574711,6849329.351514824,347092824476.49915,402346157203.742,49053791584.92147,25141278661.43608,0.0,2519567937.5308113,424294216740.8443,27105732047.81885,102911.42064349535,-77201392264.34515,-79165845650.72792
mena,2088,14028966830934.398,232799529.7210762,0.0,803757241950.2183,772309236534.4985,193348805062.22028,0.0,11738245409.908619,3260837287.213658,965658041596.7188,0.0,103299.33189164315,-161900799646.5005,-173639045056.40912
ssa,2088,14712496667636.156,1327827520.3128815,0.0,666214041750.5858,686387862226.3999,91094092599.75272,0.0,11392515298.435596,8489013343.678366,777481954826.1526,0.0,52207.70938325272,-111267913075.56677,-122660428374.00237
us,2089,33109509250400.215,143458555.5488019,35879092.572076604,1211652051698.4116,1614499563964.526,187100020420.56912,452376266437.7422,0.0,5896183222.220506,1352947444130.3945,448652140254.70074,159780.78379441838,-141295392431.9829,-137571266248.94147
oecd-ex-us,2089,29955787881047.96,206082710.71866825,35203439.64363242,1159244136923.4424,1475122885839.6848,161772786456.86716,263619519489.71384,0.0,4326345122.966438,1352218646124.3027,284677026172.2507,137017.17244994192,-192974509200.86035,-214032015883.3972
