region,year,mig_in_head,mig_out_head,mig_in_gross,mig_out_gross,mig_in_years,entrants,entrant_years,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
latam,2056,0.0,201845.60000000006,0.0,24731285282.45937,0.0,5508877.68,214176136.7343062,13089930438022.84,285632402.7999771,0.0,613330204624.5184,643251143559.4476,93836980014.21065,0.0,12119695623.028376,3729665101.397791,737088123573.6583,0.0,39094.46163495332,-123757918949.1399,-135877614572.16827
seasia,2056,0.0,83332.80000000002,0.0,9169813677.51857,0.0,6916923.07,268973355.4103695,14693431047941.809,336408765.18402,0.0,691946608120.5858,707514978455.4375,102936592421.22739,0.0,4620247923.494494,5222719094.239738,810451570876.6649,0.0,36571.286662365186,-118504962756.0791,-123125210679.5736
russia,2056,203841.62036344892,0.0,36769586802.44445,0.0,6092491.926409836,2613024.87,104302944.1687988,10396723830022.91,139683703.90522173,5554579.456561726,455851002368.07007,523629685647.245,61692017912.99406,27544491966.694378,0.0,4048550418.5556974,558480575536.3762,26841128023.862663,48888.929561153695,-102629573168.30615,-101926209225.47443
mena,2056,0.0,212898.3999999999,0.0,37790862273.153015,0.0,8030465.284999999,270792006.48364294,20264059937599.816,284874988.9469438,284458.91899618064,1282794831118.9692,1056094917549.9504,294892880457.00287,0.0,18795999843.072987,4567435009.1213455,1350987798006.9534,0.0,49188.17565727204,-68192966887.98413,-86988966731.05711
ssa,2056,0.0,591411.9999999999,0.0,17648852640.100506,0.0,36138906.239999995,1413789031.5876837,15205505296940.69,1115289159.7762198,0.0,887251093026.6406,610050223358.6393,88301435403.34871,0.0,11476201840.680813,6839755353.45379,698351658761.988,0.0,16261.906228593742,188899434264.6526,177423232423.97177
us,2057,1021861.4463802156,0.0,573140079797.1558,0.0,30807880.542075623,2647343.665,106330438.56292874,37298091068072.86,170330344.04237953,28609438.528839346,1432565057827.455,1972511696607.8423,214521531010.22595,430251662164.5829,0.0,8947333839.114466,1770459458555.5608,416573769062.5073,98874.09005509256,-337894400728.1057,-324216507626.03015
oecd-ex-us,2057,1038063.6611945133,0.0,383482286773.2632,0.0,31706657.122569405,4246618.6899999995,172372781.80343863,38977179289617.24,302133906.5275226,32391384.498667635,1467389330843.339,2134828785722.5051,217683830672.35138,288811322590.3401,0.0,7827995532.212182,2042651910701.1135,309860705693.743,77057.92049813074,-575262579857.7744,-596311962961.1772
china,2057,0.0,119918.40000000008,0.0,24579138692.22437,0.0,5214913.029999999,216587801.66156587,29803506468018.72,480810792.15987355,0.0,1009978439199.9052,1697094736921.994,172345927730.49512,0.0,10015683299.872755,10354390775.116272,1869440664652.489,0.0,54923.070242806665,-859462225452.5839,-869477908752.4567
india,2057,0.0,985756.7999999991,0.0,68251409891.064896,0.0,23721415.39,840474749.9097421,23820343502648.38,904802528.4525388,0.0,1428281609055.0005,1190726995811.5293,302050132888.41046,0.0,38382489877.17434,7784747614.314629,1492777128699.9397,0.0,28162.86693768108,-64495519644.93921,-102878009522.11356
latam,2057,0.0,204590.40000000005,0.0,25076130457.67366,0.0,5416078.265,210652154.10455725,12954159537667.43,282937049.6780837,0.0,603975337145.0585,638223310395.0924,92919922292.11769,0.0,12210283006.418589,3607278193.1596746,731143232687.2101,0.0,40233.572385589876,-127167895542.15161,-139378178548.5702
seasia,2057,0.0,74263.20000000001,0.0,8174000214.183393,0.0,6811978.07,265012379.4029454,14570241780048.656,338900570.3045579,0.0,682225428047.7671,704327404904.3499,102296845359.61345,0.0,4044416518.596412,5253970841.629651,806624250263.9633,0.0,37674.56303976907,-124398822216.19617,-128443238734.79257
russia,2057,206008.49242527154,0.0,37160347323.3352,0.0,6160402.76018966,2584418.9699999997,103198281.55231997,10299658308947.352,138792869.55146113,5705439.473295983,451293609660.5334,519162500509.8626,61035456580.95471,27840820763.541477,0.0,3998005591.174219,553282255708.3792,26915701382.438286,50144.97947457216,-101988646047.84576,-101063526666.74258
mena,2057,0.0,225093.5999999998,0.0,39976135918.086784,0.0,7938872.5,267830454.92779106,20157805093013.82,285019685.737177,277469.13641580497,1269337543768.2026,1067782129987.3652,292738157180.3657,0.0,19660644357.56684,4588543171.107687,1360520287167.731,0.0,50447.295909138105,-91182743399.52832,-110843387757.09515
ssa,2057,0.0,656311.2000000004,0.0,19595727683.874027,0.0,36026336.515,1427199781.3367684,15483105975432.973,1134274124.4549766,0.0,886567070005.6346,617712936858.3517,91095736052.35995,0.0,12685890705.697376,112528172103.05887,708808672910.7117,0.0,16957.388421739994,177758397094.92297,165072506389.2256
