region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2035,42566914596432.2,172283115.77298224,9430674.631918637,1787638897483.4773,2138135867061.4917,243922374667.04318,410088098283.0214,0.0,11578830195.439075,2244664072865.101,137394168863.43413,70999.79148182356,-457025175381.6238,-184331245962.0365
oecd-ex-us,2035,52670223685785.32,372830017.2344366,11871140.51470949,1989090424773.461,2743283012956.3677,288031452756.03235,309585080593.7311,0.0,11538481949.124796,2918575807521.133,112738658191.26932,50151.81450967642,-929485382747.6719,-732638960345.2101
china,2035,50884875989300.53,702643519.9171418,0.0,1699601658996.3418,2660323934874.383,277045106995.2872,0.0,17922890812.98927,880960690760.046,2937369041869.67,0.0,31276.301145481142,-1237767382873.3281,-1255690273686.3174
india,2035,20568724655555.746,853925486.1620992,0.0,1762443174043.372,1026048437014.3982,296262574709.21716,0.0,45976655430.530945,8002431737.069895,1322311011723.6152,0.0,12322.993355349145,440132162319.75684,394155506889.2259
latam,2035,14214750317473.896,316095401.2729213,0.0,862997929216.6362,702959794759.611,107869791173.05681,0.0,15078294674.937544,4806830131.53887,810829585932.6677,0.0,20264.359012709418,52168343283.968506,37090048609.03096
seasia,2035,14932970272310.238,354666407.2159187,0.0,939651503829.441,720511053871.0505,108490262246.31174,0.0,3852533647.900097,5596005572.97477,829001316117.3623,0.0,18489.90803605888,110650187712.07874,106797654064.17863
russia,2035,11811966994176.473,147729965.96336016,1873270.6593172126,579094578933.2268,582982372702.3058,70323587719.73062,25772152090.35707,0.0,5052981517.738674,644432922115.1417,8873038306.894764,27548.40612633718,-65338343181.91492,-48439229398.45261
mena,2035,17599903404658.24,259213052.559949,385999.55364046793,1545780939354.1533,881814153178.266,277298247645.2383,0.0,22100358194.97235,4176942467.2518272,1156960438127.956,2151962695.548251,27780.278584044616,388820501226.19727,364568180335.67664
ssa,2035,8690650824358.886,676300747.8297184,0.0,850322409981.3608,329486383414.2585,51743101230.40859,0.0,7806538273.023128,4372443141.491441,381229484644.66705,0.0,6074.267840154052,469092925336.6938,461286387063.67065
us,2036,42368676958759.12,175046940.43381357,10370688.509699583,1760253317288.8354,2136231888362.8276,242754229024.67526,409070160205.83,0.0,11425002219.755713,2226720380400.2847,152265736987.21786,72078.62633090236,-466467063111.4492,-209662639892.83707
oecd-ex-us,2036,51918274193961.63,376415250.10964245,12927425.0215454,1937672293860.1416,2721563696516.1367,283266911460.3623,304041773717.38824,0.0,11167048575.311806,2881091670859.4023,123738937117.09732,51180.04164705318,-943419376999.2607,-763116540398.9698
china,2036,49577561293430.625,691420942.6834455,0.0,1578366046751.246,2619819529218.975,269206896241.7984,0.0,16918517375.740726,20264200215.37823,2889026425460.7734,0.0,32144.40856575911,-1310660378709.5273,-1327578896085.268
india,2036,20931643716906.367,858485834.7397546,0.0,1740643937047.4648,1039189997501.8934,302043798117.6663,0.0,44532586869.751396,8041506792.469224,1341233795619.5598,0.0,12843.215070404938,399410141427.905,354877554558.1536
latam,2036,14237033435118.674,315280981.97638476,0.0,843560996705.9412,703234847103.5247,107698194019.67867,0.0,14983496015.231586,4638658077.271585,810933041123.2034,0.0,20962.8420526122,32627955582.737793,17644459567.506207
seasia,2036,15021398786712.615,359551966.6429357,0.0,919323147553.3909,723368965274.9166,108731083011.1916,0.0,4400232581.496768,5605647716.594814,832100048286.1083,0.0,19153.538279183922,87223099267.2826,82822866685.78583
russia,2036,11756040837935.627,147472145.07985482,2055378.4217118535,565079084015.978,581729318859.9814,69999554098.94963,25515915674.86918,0.0,5207717027.2491665,641904316510.936,9824556447.99505,28366.993805910806,-76825232494.95801,-61133873268.08388
mena,2036,17929502719475.98,261110244.48507762,383549.3371608018,1524940636905.7805,895117465159.9801,283267552068.75653,0.0,21167444306.38656,4211139447.08576,1176236586472.002,2148430756.7346683,28602.160001844866,348704050433.77856,325388175370.65735
ssa,2036,9145955676228.623,699292325.982985,0.0,858386929833.7767,344389994175.69147,54261589080.234924,0.0,8780274906.428759,4349780198.312857,398651583255.9264,0.0,6398.229486727132,459735346577.85034,450955071671.4216
us,2037,42153260964441.31,174951231.97431412,11316242.9413219,1734949884932.2778,2133614815492.5369,241466670375.97488,413338476260.9303,0.0,11377130357.484182,2207995801155.5234,167085684712.98868,73173.64322583453,-473045916223.2456,-226793124675.304
oecd-ex-us,2037,51142447980055.16,373223189.3668031,13971070.63959166,1888048612106.5337,2698514026867.932,278407065714.63464,302020972639.796,0.0,11025293929.791725,2842351816468.6797,134569276113.88591,52225.114427354754,-954303204362.146,-786851507836.2358
china,2037,48197707363123.94,679611051.1660588,0.0,1453746015210.638,2576657516371.3125,261083457066.30396,0.0,15224766792.562317,19365794712.86985,2837740973437.616,0.0,33030.42278602598,-1383994958226.9783,-1399219725019.5405
india,2037,21453572431853.266,862487670.4564204,0.0,1718717993511.4424,1047335797592.2108,309396464728.8069,0.0,46640841289.17244,206583825045.65762,1356732262321.0176,0.0,13380.086580480644,361985731190.4248,315344889901.2524
latam,2037,14240777878023.81,314289023.1823021,0.0,824475568453.3367,703028802864.2609,107364086294.37033,0.0,14822767749.706923,4484531360.137921,810392889158.6312,0.0,21679.22158970571,14082679294.705444,-740088455.0014782
