region,year,agefrom,ageto,lu,lp,ls,lh,cov_pop,source
oecd-ex-us,2000,15,24,1.3665767383084777,17.25794431796528,66.01877132455445,15.351752098606944,99709.0,bl-v3
oecd-ex-us,2000,25,34,1.2672213333810032,8.441065685862657,59.95330440378617,30.33910279672152,111881.0,bl-v3
oecd-ex-us,2000,35,44,1.7286252886051883,11.534397301824438,61.53892516637241,25.197416904341527,110445.0,bl-v3
oecd-ex-us,2000,45,54,2.3959522943714435,20.80896588664262,56.680322853295856,20.1016570187422,101749.0,bl-v3
oecd-ex-us,2000,55,64,5.372965569269583,33.35266343466324,47.42237824334017,13.850844319671523,80858.0,bl-v3
oecd-ex-us,2005,15,24,1.144861105326725,10.653306088875931,72.52616457040523,15.66274967723127,96044.0,bl-v3
oecd-ex-us,2005,25,34,0.9616648647649675,5.356574908287823,58.3215440911485,35.36431560077251,108219.0,bl-v3
oecd-ex-us,2005,35,44,1.196664611807806,7.321376021558405,62.05964712202338,29.42640693250669,113552.0,bl-v3
oecd-ex-us,2005,45,54,1.4675452230878527,13.631974177306926,61.33969581096415,23.56149071698977,104869.0,bl-v3
oecd-ex-us,2005,55,64,2.6704866100953932,24.718168234146788,54.81223923595154,17.80109708661682,89209.0,bl-v3
oecd-ex-us,2010,15,24,0.7800524586573212,7.571131201401818,77.88389212572555,13.759262183769579,91310.0,bl-v3
oecd-ex-us,2010,25,34,0.7836654171845867,3.7716825279676813,54.11415193831573,41.31165533716593,102976.0,bl-v3
oecd-ex-us,2010,35,44,0.7878250443031838,5.540128721687842,59.157324616700315,34.49853036862012,113423.0,bl-v3
oecd-ex-us,2010,45,54,0.9090953755113967,8.647163391291642,62.817897702367034,27.62676349722385,109504.0,bl-v3
oecd-ex-us,2010,55,64,1.2847020769492679,18.075686899639916,59.56812053115424,21.069344208169536,96921.0,bl-v3
oecd-ex-us,2015,15,24,0.7570466456428523,11.01660673367062,71.65532273067585,16.625299475917146,88154.0,bl-v3
oecd-ex-us,2015,25,34,0.7932545960340953,4.304269139004663,51.60326934690282,43.30422003544169,101011.0,bl-v3
